feature_1,feature_2,correlation,abs_correlation
comma_ratio,punctuation_per_word,0.7616576941310417,0.7616576941310417
sentence_length_burstiness,long_sentence_ratio,0.7497267275791674,0.7497267275791674
sentence_length_burstiness,sentence_length_iqr,0.7020861489553262,0.7020861489553262
average_parse_depth,maximum_parse_depth,0.6554528826589966,0.6554528826589966
punctuation_per_word,pos_ratio_punct,0.6491730985720594,0.6491730985720594
period_ratio,punctuation_per_word,0.6043773406626335,0.6043773406626335
average_sentence_length,average_parse_depth,0.5931045914541863,0.5931045914541863
sentence_length_iqr,long_sentence_ratio,0.5889568247330835,0.5889568247330835
pos_ratio_noun,pos_ratio_pron,-0.578734700892784,0.578734700892784
comma_ratio,pos_ratio_punct,0.5563674983548395,0.5563674983548395
word_length_variance,word_length_burstiness,0.5560718757059387,0.5560718757059387
average_word_length,word_length_variance,0.5500156007292659,0.5500156007292659
average_word_length,pos_ratio_pron,-0.5437573217969232,0.5437573217969232
maximum_parse_depth,parse_depth_variance,0.5330130155543589,0.5330130155543589
average_sentence_length,sentence_length_variance,0.530440453354757,0.530440453354757
average_word_length,pos_ratio_noun,0.5222807475343008,0.5222807475343008
pos_ratio_propn,noun_to_verb_ratio,0.4638418163784764,0.4638418163784764
hapax_legomena_ratio,perplexity,0.4540293192901401,0.4540293192901401
pos_ratio_verb,noun_to_verb_ratio,-0.45332963134036736,0.45332963134036736
sentence_length_burstiness,clause_length_burstiness,0.4499014621781242,0.4499014621781242
average_parse_depth,period_ratio,-0.443881227286147,0.443881227286147
rttr_root_type_token_ratio,sentence_length_iqr,0.4331559026317803,0.4331559026317803
rttr_root_type_token_ratio,maximum_parse_depth,0.4262291149314368,0.4262291149314368
pos_ratio_pron,pos_ratio_verb,0.4246087479649298,0.4246087479649298
rttr_root_type_token_ratio,clause_length_burstiness,0.4238499217866838,0.4238499217866838
pos_ratio_pron,noun_to_verb_ratio,-0.42218521153527006,0.42218521153527006
average_word_length,pos_ratio_adj,0.4218705485872796,0.4218705485872796
average_sentence_length,period_ratio,-0.41816252359720707,0.41816252359720707
pos_ratio_aux,noun_to_verb_ratio,-0.41739263227547513,0.41739263227547513
pos_ratio_pron,pos_ratio_sconj,0.4081243662768263,0.4081243662768263
sentence_length_burstiness,position_burstiness_diff,0.4071514440166844,0.4071514440166844
pos_ratio_propn,pos_ratio_verb,-0.4039306103386769,0.4039306103386769
rttr_root_type_token_ratio,sentence_length_burstiness,0.40327650750597926,0.40327650750597926
pos_ratio_aux,pos_ratio_pron,0.40093806754336014,0.40093806754336014
pos_ratio_adp,pos_ratio_pron,-0.39939704123305736,0.39939704123305736
average_word_length,rttr_root_type_token_ratio,0.39660164661522046,0.39660164661522046
pos_ratio_part,pos_ratio_verb,0.3887755494242098,0.3887755494242098
sentence_length_iqr,clause_length_burstiness,0.37510195106040195,0.37510195106040195
average_word_length,pos_ratio_aux,-0.37458463620747035,0.37458463620747035
average_sentence_length,maximum_parse_depth,0.366610208644788,0.366610208644788
pos_ratio_aux,pos_ratio_sconj,0.36562917215120455,0.36562917215120455
pos_ratio_punct,word_length_burstiness,0.361492524562243,0.361492524562243
pos_ratio_adp,pos_ratio_part,-0.35425343255661645,0.35425343255661645
average_parse_depth,parse_depth_variance,0.3533617779461302,0.3533617779461302
comma_ratio,clause_length_burstiness,0.3445141104789155,0.3445141104789155
pos_ratio_adp,pos_ratio_aux,-0.34245351904724547,0.34245351904724547
rttr_root_type_token_ratio,pos_ratio_aux,-0.3409183648049692,0.3409183648049692
pos_ratio_det,pos_ratio_pron,-0.3403007057998813,0.3403007057998813
pos_ratio_punct,pos_ratio_sconj,-0.33894632865795865,0.33894632865795865
pos_ratio_aux,pos_ratio_noun,-0.33878190691119975,0.33878190691119975
maximum_parse_depth,clause_length_burstiness,0.3371206347414796,0.3371206347414796
pos_ratio_pron,pos_ratio_propn,-0.3335279690305991,0.3335279690305991
pos_ratio_punct,pos_ratio_verb,-0.33346449640208187,0.33346449640208187
pos_ratio_adp,pos_ratio_noun,0.33279999578744757,0.33279999578744757
average_sentence_length,punctuation_per_word,-0.3317066134656951,0.3317066134656951
word_length_variance,pos_ratio_pron,-0.32345517802296586,0.32345517802296586
pos_ratio_aux,pos_ratio_propn,-0.32218720852610233,0.32218720852610233
parse_depth_variance,noun_to_verb_ratio,0.31887668188782214,0.31887668188782214
average_parse_depth,punctuation_per_word,-0.3186433657286871,0.3186433657286871
pos_ratio_part,pos_ratio_pron,0.3168971388290795,0.3168971388290795
pos_ratio_aux,pos_ratio_part,0.3166709969547758,0.3166709969547758
pos_ratio_sconj,noun_to_verb_ratio,-0.316608011737662,0.316608011737662
average_word_length,average_parse_depth,0.31529934162067136,0.31529934162067136
pos_ratio_det,pos_ratio_verb,-0.3142531593215589,0.3142531593215589
pos_ratio_num,pos_ratio_sym,0.31341888665993617,0.31341888665993617
pos_ratio_adp,pos_ratio_sconj,-0.3060262955770011,0.3060262955770011
pos_ratio_sconj,pos_ratio_verb,0.30545076991788156,0.30545076991788156
long_sentence_ratio,clause_length_burstiness,0.30381375969119434,0.30381375969119434
pos_ratio_adp,noun_to_verb_ratio,0.30377437772677046,0.30377437772677046
pos_ratio_part,noun_to_verb_ratio,-0.3029176911133162,0.3029176911133162
period_ratio,pos_ratio_punct,0.30095291673713115,0.30095291673713115
punctuation_per_word,pos_ratio_sconj,-0.2971235843163255,0.2971235843163255
average_parse_depth,pos_ratio_punct,-0.2958895991178921,0.2958895991178921
pos_ratio_num,pos_ratio_propn,0.2932669555098861,0.2932669555098861
pos_ratio_noun,noun_to_verb_ratio,0.2932360147190693,0.2932360147190693
pos_ratio_adp,pos_ratio_verb,-0.286325808972711,0.286325808972711
exclamation_mark_ratio,pos_ratio_intj,0.28598496703086596,0.28598496703086596
average_word_length,pos_ratio_adp,0.28540080077444274,0.28540080077444274
